parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
adjmix_rain:hru_36895:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36895:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36899:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36901:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36902:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36903:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36906:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36907:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36917:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36931:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
