parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,rain,36895,36899,36901,36902,36903,36906,36907,36917,36931,36962,37892,37895,37896,37985,37986,37988,max,coef,noppt,lin,cap,n,sublim,trncf,radmax,adj,sq,thresh,frac,exp,rate,allsnow
adjmix_rain:hru_36895:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36895:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36899:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_36901:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
