obsnme,obsval,weight,obgnme,lower_bound,upper_bound
actet_mean_mon:10:84012,0.0271999984979629,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84017,0.039695456624031,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84023,0.0317045487463474,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84032,0.0404227301478385,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84038,0.0412772744894027,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84124,0.0421681813895702,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84148,0.0420181825757026,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:84165,0.0432454533874988,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:85114,0.0409090891480445,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:10:85116,0.0427136346697807,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84012,0.0219318177551031,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84017,0.0229045450687408,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84023,0.0225318185985088,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84032,0.0246181823313236,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84038,0.025609090924263,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84124,0.0280000008642673,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84148,0.0287227276712656,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:84165,0.0249136369675397,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:85114,0.0255818162113428,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:11:85116,0.0256181787699461,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84012,0.0131363645195961,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84017,0.0119227264076471,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84023,0.0122181810438632,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84032,0.0117272734642028,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84038,0.0140590909868478,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84124,0.0121272727847099,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84148,0.0122136361896991,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:84165,0.0125454533845186,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:85114,0.0113954544067382,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:12:85116,0.0127909090369939,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84012,0.0130090918391942,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84017,0.0120363645255565,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84023,0.0128454538062214,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84032,0.0115954540669918,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84038,0.0144681818783283,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84124,0.0128999995067715,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84148,0.0117363641038537,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:84165,0.0130272731184959,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:85114,0.0103636374697089,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:1:85116,0.0133000016212463,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:2:84012,0.0148045467212796,34793.49121774129,actet_mean_mon,0,100000000000.0
